analysis_id,source_key,topic,current_status,manuscript_placement,result_ids,replacement_or_current_anchor,current_use,notes
A001,docs/CNFLS2_FULL_LENGTH_RECOVERY_RESULT.md,FLS sequence resolution,current,main,M01_FLS_SAME_LINEAGE,,Methods + Results,"Primary sequence-aware evidence for same-lineage FLS recurrence."
A002,docs/CJDFR_SEQUENCE_ANCHOR_RESULT.md,DFR sequence resolution,current,main,M02_DFR_PARALOG_SUBSTITUTION,,Methods + Results,"Primary sequence-aware evidence for DFR paralog substitution."
A003,docs/ANS_LDOX_CONSERVATIVE_RESOLUTION_RESULT.md,ANS/LDOX copy resolution,current,supplement,M03_ANS_COPY_DIRECTION_HETEROGENEITY,,Supplementary mechanism,"Supports copy-aware heterogeneity; not a strict macro-node result."
A004,docs/ANR_CONSERVATIVE_RESOLUTION_RESULT.md,ANR copy resolution,current,supplement,M04_ANR_COPY_DIRECTION_HETEROGENEITY,,Supplementary mechanism,"Supports copy-aware heterogeneity; not a strict macro-node result."
A005,docs/ANS_LDOX_SEQUENCE_RESOLUTION_RESULT.md,exploratory ANS/LDOX sequence recovery,superseded,provenance_only,,docs/ANS_LDOX_CONSERVATIVE_RESOLUTION_RESULT.md,Reproducibility provenance,"Exploratory recovery retained for provenance; conservative resolution is authoritative."
A006,docs/ORTHOLOGY_RESOLUTION_PRE_MACRO_GATE.md,micro orthology synthesis,current,main,M01_FLS_SAME_LINEAGE;M02_DFR_PARALOG_SUBSTITUTION,,Methods + Results,"Cross-feature sequence-aware synthesis used in Fig 2."
A007,docs/WITHIN_SECTION_COLOUR_CLIMATE_COUPLING_RESULT.md,visible colour × climate screen,current,main,E01_UNIVERSAL_COLD_CHAIN_NOT_SUPPORTED,,Results + Discussion,"Retained as screening evidence against a universal direct thermal chain; not a branch causal test."
A008,docs/POLLINATION_FUNCTION_META_V0_2_RESULTS.md,pollination-function synthesis,current,main,E02_VISIBLE_HUE_POLLINATOR_ALIASING,PR#39,Results + Discussion context,"Use only for visible-state aliasing/context dependence, not genus-level pollinator causation."
A009,PR#39,context-dependent pollination update,current,main,E02_VISIBLE_HUE_POLLINATOR_ALIASING,,Results + Discussion context,"Current pollination evidence state; supersedes older fixed insect classification for C. oleifera."
A010,PR#46,WFO 2026-06 taxonomy normalization,current,main,T01_WFO_ACCEPTED_TAXONOMY,,Methods + Results,"Authoritative accepted-species taxonomy gate."
A011,PR#48,FastTree accepted-species nuclear tree,current,supplement,P01_NUCLEAR_TOPOLOGY_CONCORDANCE,PR#56,Supplementary topology sensitivity,"Approximate accepted-species nuclear sensitivity; not novel phylogeny headline."
A012,PR#49,Fan colour aggregation after taxonomy collapse,current,supplement,T02_WILD_COLOUR_AUDIT,PR#51,Supplementary trait provenance,"Intermediate aggregation before wild/floristic audit."
A013,PR#51,wild/floristic colour audit,current,main,T02_WILD_COLOUR_AUDIT,,Methods + Results,"Authoritative strict/dominant trait seed gate."
A014,PR#53,accepted-species colour history and event identifiability,current,main,H01_ACCEPTED_ROOT_W_FAVOURED_WITH_UNCERTAINTY;B01_NO_ROBUST_ACCEPTED_BRANCH_EVENTS,,Results + Supplement,"Main use is zero shared robust accepted-species events; root-state sensitivity belongs in Supplement."
