evidence_layer,source_id,observed_value,status,notes
PHYLOGENY,10.1098/rspb.2023.0275,"59 Petunieae species + Browallia outgroup; ASTRAL species tree from 3672 gene trees",VERIFIED,"Dense cross-species tree generated from the same transcriptomic programme."
RNA_SAMPLING,PRJNA746328,"corolla tissue; developing floral buds; 3 biological replicates per species",VERIFIED_PUBLIC_RAW,"Raw RNA-seq public in SRA; first replicate from prior programme and replicates 2-3 from additional individuals collected with the same voucher time/location."
PROCESSED_DATA,https://osf.io/zg9cu/,"transcriptome assemblies; scripts; processed expression files",VERIFIED_PUBLIC_PROCESSED,"Processed analysis objects and code are openly available."
PIGMENT_CHEMISTRY,10.1098/rspb.2023.0275,"HPLC: 6 anthocyanidins + kaempferol/quercetin/myricetin flavonols",VERIFIED,"Provides a functional biochemical state rather than visible hue alone."
EXPRESSION_MODULES,10.1098/rspb.2023.0275,"flavonoid structural genes plus regulatory TFs across 59 Petunieae species",VERIFIED,"Includes anthocyanin and flavonol modules and branch enzymes; suitable for hierarchical functional-module ontology."
ANCESTRAL_BASELINE,10.1098/rspb.2023.0275,"pale-flowered delphinidin-producing high-flavonol pigment phenotype; source ASR probability ~0.7",VERIFIED_SOURCE_ASR,"Use as PALE_LOW_VISIBLE_PIGMENT baseline, not as literal white or pigment-free state."
REPEATED_TRANSITIONS,10.1098/rspb.2023.0275,"source analysis estimates 4-5 transitions to intensely pigmented purple phenotype",VERIFIED_SOURCE_ASR,"Sufficient recurrence signal for event-mapping admission; exact independent atlas events remain to be re-estimated."
VISIBLE_STATES,10.1098/rspb.2023.0275,"white; yellow; pink; purple; red; burgundy plus quantitative pigment profiles",VERIFIED,"Visible labels remain secondary to quantitative pigment/expression state."
SOURCE_CROSSWALK,10.1098/rspb.2023.0275,"species transcriptomes, pigment measurements and species tree generated within one coordinated programme",STRONG,"Much stronger sample-to-tree alignment than current Epimedium accession panel."
HISTORICAL_EVENT_IDENTITY,ATLAS_REANALYSIS_REQUIRED,"exact transition branches under atlas trait/state model not yet frozen",PENDING,"Source stochastic mapping is admission evidence, not a substitute for atlas event-identity robustness checks."
ANCHOR_DECISION,ATLAS_V0_1,"dense pale-ancestor mechanistic anchor",PASS_TO_EVENT_MAPPING,"Admit Petunieae for raw/processed ingestion and independent event remapping; do not yet call historical recurrence fully validated."
